category,canonical_name,aliases,normalized_aliases
district,District Nankana Sahib,District Nankana Sahib | Nankana Sahib | Nankana | Nankana Sahib District | ضلع ننکانہ صاحب | ننکانہ صاحب | ننکانہ,nankana | nankana sahib | ضلع ننکانہ صاحب | ننکانہ | ننکانہ صاحب
tehsil,Nankana Sahib,Nankana Sahib | Nankana | ننکانہ | ننکانہ صاحب,nankana | nankana sahib | ننکانہ | ننکانہ صاحب
tehsil,Shahkot,Shahkot | Shah Kot | شاہکوٹ,shah kot | shahkot | شاہکوٹ
tehsil,Sangla Hill,Sangla Hill | Sangla | سانگلہ ہل,sangla | sangla hill | سانگلہ ہل
municipal committee,"Municipal Committee, Nankana Sahib","Municipal Committee, Nankana Sahib | Nankana Sahib MC | MC Nankana Sahib | Municipal Committee Nankana Sahib",nankana sahib
municipal committee,"Municipal Committee, Shahkot","Municipal Committee, Shahkot | Shahkot MC | MC Shahkot | Municipal Committee Shahkot",shahkot
municipal committee,"Municipal Committee, Sangla Hill","Municipal Committee, Sangla Hill | Sangla Hill MC | MC Sangla Hill | Municipal Committee Sangla Hill",sangla hill
town committee,"Town Committee, Warburton","Town Committee, Warburton | Warburton TC | Town Committee Warburton | Warburton",warburton
town committee,"Town Committee, Mor Khunda","Town Committee, Mor Khunda | Mor Khunda TC | Town Committee Mor Khunda | More Khunda | Mor Khunda",mor khunda | more khunda
town committee,"Town Committee, Syedwala","Town Committee, Syedwala | Seyedwala | Syed Wala | Syedwala TC | Town Committee Syedwala",seyedwala | syed wala | syedwala
union_council,UC 1: Marh Balochan,UC 1: Marh Balochan | Marh Balochan,1 marh balochan | marh balochan
union_council,UC 2: Chak No.28 RB Longowal,UC 2: Chak No.28 RB Longowal | Longowal | Chak 28 RB | 28 RB Longowal | 28/RB Longowal | Chak 28 RB Longowal | Chak No28 RB Longowal | Chak No 28 RB Longowal | Chak No.28 RB Longowal | Chak No. 28 RB Longowal,2 chak 28 rb longowal | 28 rb longowal | chak 28 rb | chak 28 rb longowal | chak no28 rb longowal | longowal
union_council,UC 3: Chak No.113 RB Bado Malli,UC 3: Chak No.113 RB Bado Malli | Bado Malli | Chak 113 RB | 113 RB Bado Malli | 113/RB Bado Malli | Chak 113 RB Bado Malli | Chak No113 RB Bado Malli | Chak No 113 RB Bado Malli | Chak No.113 RB Bado Malli | Chak No. 113 RB Bado Malli,113 rb bado malli | 3 chak 113 rb bado malli | bado malli | chak 113 rb | chak 113 rb bado malli | chak no113 rb bado malli
union_council,UC 4: Chak No.122/RB Phanodrian,UC 4: Chak No.122/RB Phanodrian | Pandorian | Phanodrian | 122 /RB Phanodrian | Chak 122 RB Pandorian | Chak 122 RB Phanodrian | Chak 122 /RB Phanodrian | Chak No122 RB Phanodrian | Chak No.122/RB Phanodrian | Chak No 122 /RB Phanodrian | Chak No. 122 /RB Phanodrian,122 rb phanodrian | 4 chak 122 rb phanodrian | chak 122 rb pandorian | chak 122 rb phanodrian | chak no122 rb phanodrian | pandorian | phanodrian
union_council,UC 5: Chak No.119 RB Bhulilar,UC 5: Chak No.119 RB Bhulilar | Bhulilar | Chak 119 RB | 119 RB Bhulilar | 119/RB Bhulilar | Chak 119 RB Bhulilar | Chak No119 RB Bhulilar | Chak No 119 RB Bhulilar | Chak No.119 RB Bhulilar | Chak No. 119 RB Bhulilar,119 rb bhulilar | 5 chak 119 rb bhulilar | bhulilar | chak 119 rb | chak 119 rb bhulilar | chak no119 rb bhulilar
union_council,UC 6: Chak No.118/RB Chahur Muslim,UC 6: Chak No.118/RB Chahur Muslim | 118 /RB Chahur Muslim | Chak 118 /RB Chahur Muslim | Chak No118 RB Chahur Muslim | Chak No.118/RB Chahur Muslim | Chak No 118 /RB Chahur Muslim | Chak No. 118 /RB Chahur Muslim,118 rb chahur muslim | 6 chak 118 rb chahur muslim | chak 118 rb chahur muslim | chak no118 rb chahur muslim
union_council,UC 7: Chak No.45/RB Marar,UC 7: Chak No.45/RB Marar | 45 /RB Marar | Chak 45 /RB Marar | Chak No45 RB Marar | Chak No.45/RB Marar | Chak No 45 /RB Marar | Chak No. 45 /RB Marar,45 rb marar | 7 chak 45 rb marar | chak 45 rb marar | chak no45 rb marar
union_council,UC 8: Chak No.41/RB Marar Khurd,UC 8: Chak No.41/RB Marar Khurd | 41 /RB Marar Khurd | Chak 41 /RB Marar Khurd | Chak No41 RB Marar Khurd | Chak No.41/RB Marar Khurd | Chak No 41 /RB Marar Khurd | Chak No. 41 /RB Marar Khurd,41 rb marar khurd | 8 chak 41 rb marar khurd | chak 41 rb marar khurd | chak no41 rb marar khurd
union_council,UC 9: Chak No.292/RB Jhuggian,UC 9: Chak No.292/RB Jhuggian | 292 /RB Jhuggian | Chak 292 /RB Jhuggian | Chak No292 RB Jhuggian | Chak No.292/RB Jhuggian | Chak No 292 /RB Jhuggian | Chak No. 292 /RB Jhuggian,292 rb jhuggian | 9 chak 292 rb jhuggian | chak 292 rb jhuggian | chak no292 rb jhuggian
union_council,UC 10: Chak No.25RB Sathiali Kalan,UC 10: Chak No.25RB Sathiali Kalan | Chak 25 RB | Sathiali Kalan | Sathyali Kalan | 25 RB Sathiali Kalan | 25/RB Sathiali Kalan | Chak 25 RB Sathiali Kalan | Chak No25RB Sathiali Kalan | Chak No.25RB Sathiali Kalan | Chak No 25 RB Sathiali Kalan | Chak No. 25 RB Sathiali Kalan,10 chak 25rb sathiali kalan | 25 rb sathiali kalan | chak 25 rb | chak 25 rb sathiali kalan | chak 25rb sathiali kalan | chak no25rb sathiali kalan | sathiali kalan | sathyali kalan
